ident,latitude_deg,longitude_deg,iso_country
BVO,36.83420181274414,-96.01830291748048,US
BVP,29.99329948425293,-95.21499633789062,US
BVQ,37.01750183105469,-86.00920104980469,US
BVR,39.76580047607422,-103.9280014038086,US
BVS,48.46860122680664,-122.41899871826172,US
BVT,40.55609893798828,-87.06929779052734,US
BVV,31.607999801635746,-90.4103012084961,US
BW,36.880001068115234,-86.48159790039062,US
BWD,31.89259910583496,-98.9574966430664,US
BWG,36.9286994934082,-86.44339752197266,US
BWK,30.86540031433105,-92.23410034179688,US
BWP,46.24489974975586,-96.60359954833984,US
BWR,30.45820045471192,-103.64700317382812,US
BWS,32.8213005065918,-106.01300048828124,US
BWZ,40.79840087890625,-74.8218002319336,US
BX,51.4213981628418,-57.20309829711914,CA
BX,30.88159942626953,-89.86209869384766,US
BXG,33.04249954223633,-82.00479888916016,US
BXK,33.45349884033203,-112.8249969482422,US
BXR,45.8213005065918,-92.36640167236328,US
BXZ,44.2426986694336,-84.18350219726562,US
BY,50.84189987182617,-107.45999908447266,CA
BYI,42.5802001953125,-113.86599731445312,US
BYN,41.47980117797852,-84.46610260009766,US
BYP,33.537498474121094,-96.23410034179688,US
BYY,28.97249984741211,-95.85910034179688,US
BZ,35.45069885253906,-99.20149993896484,US
BZ,45.87179946899414,-111.28600311279295,US
BZ,32.417701721191406,-81.66190338134766,US
BZA,32.76810073852539,-114.60299682617188,US
BZJ,40.4359016418457,-76.5530014038086,US
BZK,39.764198303222656,-93.10910034179688,US
BZM,35.868900299072266,-81.2405014038086,US
BZN,45.78390121459961,-111.15499877929688,US
C7,49.77230072021485,-86.97139739990234,CA
CA,53.71060180664063,-57.01789855957031,CA
CA,38.144901275634766,-97.2761001586914,US
CA,33.96720123291016,-81.24469757080078,US
CAD,44.275001525878906,-85.41419982910156,US
CAE,33.8572998046875,-81.05390167236328,US
CAM,42.99430084228516,-73.34400177001953,US
CAN,47.41059875488281,-122.83899688720705,US
CAO,36.44400024414063,-103.14900207519533,US
CAT,40.74089813232422,-74.42980194091797,US
CAV,42.74580001831055,-93.75879669189452,US
CB,69.11360168457031,-105.01499938964844,CA
CBE,39.64820098876953,-78.74729919433594,US
CBG,45.557498931884766,-93.26219940185548,US
CBM,33.64149856567383,-88.4384994506836,US
CBU,45.588600158691406,-122.61100006103516,US
CC,38.0463981628418,-122.03299713134766,US
CCC,40.92959976196289,-72.79889678955078,US
CCJ,39.87360000610352,-83.77909851074219,US
CCR,38.044898986816406,-122.04499816894533,US
CCT,37.38240051269531,-87.26370239257812,US
CCV,37.34749984741211,-75.9977035522461,US
CD,55.29610061645508,-162.78900146484375,US
CD,42.75450134277344,-103.1750030517578,US
CDB,55.26739883422852,-162.7740020751953,US
CDC,37.78730010986328,-113.06800079345705,US
CDH,33.61349868774414,-92.76750183105467,US
CDN,34.28350067138672,-80.5615005493164,US
CDR,24.15970039367676,-101.48799896240234,MX
CDR,42.55879974365234,-103.31199645996094,US
CDS,34.36909866333008,-100.28900146484376,US
CDX,36.99620056152344,-84.6812973022461,US
CE,30.8528995513916,-86.5365982055664,US
CEC,41.779598236083984,-124.24099731445312,US
CEF,42.1974983215332,-72.52629852294922,US
CEK,40.62409973144531,-96.92759704589844,US
CEN,27.394800186157227,-109.83699798583984,MX
CEP,33.489898681640625,-105.40399932861328,US
CEU,34.67380142211914,-82.88680267333984,US
CEV,39.697601318359375,-85.1343994140625,US
CEW,30.82620048522949,-86.6791000366211,US
CEZ,37.38980102539063,-108.56199645996094,US
CFB,42.157501220703125,-76.1364974975586,US
CFJ,39.98099899291992,-86.91570281982422,US
CFV,37.093299865722656,-95.57129669189452,US
CFX,40.236698150634766,-81.01319885253906,US
CFY,33.85599899291992,-79.76589965820312,US
CG,49.44720077514648,-117.5749969482422,CA
CG,37.25339889526367,-89.70059967041016,US
CGE,38.53820037841797,-76.03189849853516,US
CGG,44.68159866333008,-84.72889709472656,US
CGI,37.227500915527344,-89.57240295410156,US
CGL,58.35929870605469,-134.6999969482422,US
CGQ,32.06399917602539,-96.4280014038086,US
CGT,41.5099983215332,-87.57150268554688,US
CH,32.97629928588867,-80.09750366210938,US
